RollLongRight,RollLongTrd,RollShortRight,RollShortTrd,rollret,theRet,ticker
314,634,234,527,1.26998054,-0.03251947,CEE
315,635,236,544,1.39129295,0.12131241,CEMI
319,640,239,551,1.32892201,-0.06237094,CENT
323,647,241,556,1.344099,0.01517699,CENTA
325,653,247,565,1.31712539,-0.02697361,CEQP
326,654,251,570,1.45409439,0.136969,CERU
326,654,251,570,1.45409439,0.0,CETX
332,663,253,572,1.52155516,0.06746077,CF
336,671,253,572,1.52859327,0.00703811,CFD
336,673,255,580,1.22043709,-0.30815618,CHCI
343,683,267,603,1.26373467,0.04329758,CHD
343,683,270,609,1.28978093,0.02604626,CHDN
344,685,272,613,1.29674291,0.00696198,CHFN
344,688,278,629,1.14497953,-0.15176338,CHS
348,695,282,636,1.15619513,0.0112156,CHT
358,712,283,665,1.15055603,-0.0056391,CHY
359,713,284,666,1.32073821,0.17018218,CIG.C
365,721,285,668,1.37470576,0.05396755,CL
367,723,285,668,1.38738428,0.01267852,CLA
367,723,285,668,1.38738428,0.0,CLCD
368,727,290,673,1.44443193,0.05704765,CLDT
379,747,293,677,1.56845118,0.12401925,CLGX
379,748,294,684,1.521503,-0.04694818,CLI
381,751,299,692,1.5489836,0.0274806,CLMS
381,755,299,693,1.41972163,-0.12926197,CLWT
381,756,299,693,1.3934639,-0.02625773,CMCM
383,760,300,694,1.40790297,0.01443907,CMCT
392,775,303,698,1.40436822,-0.00353475,CME
392,775,315,729,1.16825042,-0.2361178,CMN
393,784,316,732,1.08526531,-0.08298511,CMP
395,789,320,737,1.12438384,0.03911853,CNA
399,799,328,753,1.10713537,-0.01724847,CNMD
402,808,330,757,1.1194499,0.01231453,CNSL
402,809,332,760,1.12383745,0.00438755,CNTF
403,811,333,761,1.1308458,0.00700835,CNTY
403,811,334,775,1.14064635,0.00980055,COR
408,820,337,780,1.15577735,0.015131,CP
410,823,346,797,1.13666119,-0.01911616,CPB
417,832,351,808,1.16654768,0.02988649,CPT
418,836,363,830,1.21636415,0.04981647,CRAY
425,844,363,831,1.24898583,0.03262168,CRF
426,846,363,831,1.25334314,0.00435731,CRTN
427,849,363,831,1.23327934,-0.0200638,CRY
432,856,370,841,1.28377926,0.05049992,CS
434,860,371,849,1.24469002,-0.03908924,CSU
434,861,372,855,1.15835763,-0.08633239,CTHR
444,873,372,859,1.245799,0.08744137,CTRE
446,879,374,865,1.16179842,-0.08400058,CTS
446,880,375,868,1.15087806,-0.01092036,CTU
450,886,375,868,1.14928719,-0.00159087,CTW
452,889,376,870,1.15751359,0.0082264,CTX
452,890,377,871,1.15589921,-0.00161438,CTY
452,891,377,871,1.15589921,0.0,CUBS
454,897,381,888,1.38133234,0.22543313,CVO
454,897,381,888,1.38133234,0.0,CWAY
457,905,385,902,1.34520662,-0.03612572,CWT
458,906,386,905,1.4094283,0.06422168,CYAN
460,909,386,905,1.43514237,0.02571407,CYRN
463,914,388,909,1.45686766,0.02172529,CYS
464,915,396,919,1.89041673,0.43354907,CYTR
464,916,396,919,1.86291008,-0.02750665,DAIO
465,918,399,922,1.87873815,0.01582807,DBL
470,925,402,926,1.91206441,0.03332626,DCM
474,933,402,929,1.99218555,0.08012114,DECK
478,946,403,930,1.94396331,-0.04822224,DGICA
478,946,404,931,1.97486932,0.03090601,DGLD
479,949,405,933,1.98122047,0.00635115,DHF
480,950,408,939,2.00114534,0.01992487,DIS
482,953,411,943,1.99253028,-0.00861506,DISCA
483,956,414,947,1.90988923,-0.08264105,DLA
483,956,414,947,1.90988923,0.0,DLBL
484,958,421,957,1.94780186,0.03791263,DLX
486,961,424,960,1.95509767,0.00729581,DMF
488,967,427,966,1.96968904,0.01459137,DMO
490,973,429,972,1.9513007,-0.01838834,DMRC
491,978,430,973,1.94918651,-0.00211419,DNP
494,982,430,973,1.96449993,0.01531342,DOC
495,987,431,977,1.89333539,-0.07116454,DRAD
497,991,431,977,1.89441635,0.00108096,DSL
497,992,432,980,1.82035807,-0.07405828,DSLV
497,998,436,985,1.78922165,-0.03113642,DSM
498,1000,438,988,1.78146597,-0.00775568,DSWL
499,1001,439,992,1.78115052,-0.00031545,DTF
501,1010,443,998,1.73537967,-0.04577085,DTLK
502,1011,443,999,1.73538723,7.56e-06,DTQ
502,1011,443,999,1.73538723,0.0,DTYL
502,1016,445,1004,1.72101969,-0.01436754,DTZ
507,1025,446,1006,1.73704391,0.01602422,DUC
519,1039,446,1011,1.7500451,0.01300119,DUK
520,1040,446,1011,1.75153871,0.00149361,DUKH
